Year,Cause,Sex,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
1979,204,1,4,9,9,21,22,159,99,113,74,31,27,25,14,35,83,164,200,291,357,364,303,308,,,0,0,0,0,4
1979,204,2,6,7,15,8,18,91,63,59,33,16,10,19,14,27,47,72,129,182,242,264,285,340,,,0,0,0,0,6
1979,2040,1,3,9,8,21,21,154,95,111,70,30,24,17,8,7,19,22,17,29,39,40,34,28,,,0,0,0,0,3
1979,2040,2,6,7,15,8,17,89,61,58,32,16,10,16,9,14,16,17,21,26,32,34,31,39,,,0,0,0,0,6
1979,205,1,5,8,9,6,2,23,38,70,93,90,121,115,118,168,237,317,426,532,515,452,329,300,,,0,0,0,0,5
1979,205,2,6,10,5,4,7,23,50,52,71,71,96,113,102,156,216,244,302,352,406,414,391,311,,,0,1,0,0,5
1979,2050,1,5,7,7,5,2,20,34,60,71,56,77,63,68,94,147,218,286,338,343,284,198,165,,,0,0,0,0,5
1979,2050,2,5,9,5,3,7,19,38,45,52,54,62,67,68,91,140,169,216,240,286,285,247,181,,,0,1,0,0,4
1979,206,1,2,0,2,1,0,3,0,3,2,1,8,6,5,4,4,9,23,28,30,27,22,29,,,0,0,0,1,1
1979,206,2,0,1,1,0,0,1,4,3,3,0,2,4,2,3,3,7,12,15,23,33,26,26,,,0,0,0,0,0
1979,207,1,0,1,0,0,0,0,0,5,2,3,4,3,2,10,9,22,20,28,34,12,19,13,,,0,0,0,0,0
1979,207,2,0,1,0,0,0,0,0,4,1,0,2,2,7,2,9,7,17,12,19,23,18,15,,,0,0,0,0,0
1979,208,1,5,10,7,6,5,36,37,46,51,45,25,27,40,48,72,111,143,208,298,243,213,134,,,1,0,0,1,4
1979,208,2,5,3,4,3,5,24,11,22,27,21,27,22,34,45,76,97,111,141,179,198,188,195,,,0,0,0,0,5
1979,235,1,0,0,0,0,0,0,0,2,1,0,1,1,0,1,1,5,4,6,6,9,7,4,,,0,0,0,0,0
1979,235,2,2,0,0,0,0,0,1,0,2,0,1,0,2,3,1,4,3,7,5,11,5,6,,,0,0,0,0,2
1979,236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0
1979,236,2,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,3,3,1,0,1,0,2,,,0,0,0,0,0
1979,237,1,0,1,1,0,0,1,2,6,7,11,2,6,2,7,3,5,9,10,6,2,1,1,,,0,0,0,0,0
1979,237,2,2,0,1,0,0,5,4,4,5,5,4,4,6,6,4,10,11,13,5,4,3,1,,,0,0,0,0,2
1979,238,1,1,0,1,0,0,1,1,0,6,4,4,7,7,7,24,39,47,57,89,70,49,42,,,0,0,0,0,1
1979,238,2,4,0,1,1,1,1,1,1,3,2,4,4,8,7,19,27,29,51,76,84,72,81,,,0,2,0,0,2
1979,239,1,8,7,2,4,3,17,12,19,15,23,35,20,43,66,81,157,167,204,205,194,151,136,,,0,1,1,0,6
1979,239,2,11,2,2,5,4,17,16,14,18,21,29,27,31,53,74,126,144,199,216,227,179,252,,,1,1,0,1,9
1979,415+,1,2,0,0,0,0,0,0,0,1,1,2,0,2,1,4,2,3,2,4,3,3,2,,,0,0,0,0,2
1979,415+,2,1,0,0,0,0,2,0,1,1,0,0,2,0,0,2,1,2,3,1,1,5,7,,,0,0,0,0,1
1979,416,1,34,4,2,2,1,1,6,8,7,7,7,10,6,17,33,48,51,77,103,71,41,26,,,0,1,13,2,18
1979,416,2,26,5,3,0,2,8,4,11,20,21,24,29,22,28,33,48,47,60,58,56,41,73,,,0,1,14,1,10
1979,420+,1,141,29,15,10,6,31,37,123,202,265,312,476,818,1504,2695,4143,5325,6690,7492,8006,7613,10226,,,13,6,12,13,110
1979,420+,2,101,38,10,7,10,27,42,52,87,118,140,185,306,489,985,1599,2626,3837,5737,8088,10622,20622,,,15,3,6,9,83
1979,B00,1,25980,1659,1180,979,773,3179,3763,15547,21054,18332,16014,16305,20752,32366,53837,78814,103474,129066,140105,132212,110104,119006,,,458,9307,5436,2796,8441
1979,B00,2,19685,1415,867,660,575,2099,2105,5538,6580,6482,7113,8798,11868,18413,30649,44808,59870,79941,100143,119610,131750,209719,,,194,7422,3886,2133,6244
1979,B01,1,64,7,1,3,2,1,2,4,2,3,1,5,2,5,8,5,16,14,15,12,17,20,,,0,0,3,5,56
1979,B01,2,53,2,3,1,0,5,1,0,4,4,0,2,1,5,5,8,5,7,18,24,23,40,,,0,0,1,2,50
1979,B010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,B010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,B011,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,,,0,0,0,0,0
1979,B011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,B012,1,1,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,0,1
1979,B012,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,,,0,0,1,0,0
1979,B013,1,3,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,7,5,5,4,2,4,,,0,0,0,0,3
1979,B013,2,4,0,0,0,0,2,0,0,1,3,0,0,1,0,3,2,1,2,7,6,6,6,,,0,0,0,1,3
1979,B014,1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,2,1,1,0,0,2,,,0,0,0,0,2
1979,B014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,,0,0,0,0,0
1979,B015,1,15,4,1,0,1,1,0,0,2,1,1,1,1,1,1,1,2,3,3,3,11,9,,,0,0,0,3,12
1979,B015,2,13,1,3,0,0,2,1,0,2,0,0,0,0,2,2,4,1,2,5,10,11,25,,,0,0,0,1,12
